,band,ccdVisitId,coord_ra,coord_dec,objectId,psfFlux,psfFluxErr,psfMag,ccdVisitId2,band2,expMidptMJD,zeroPoint
5482,g,418968168,53.9046137,-37.3252014,1566258711813454641,141900.9228907,373.4143563,18.520036949956825,418968168,g,60177.2949742,32.316
5483,g,943279060,53.9046137,-37.3252014,1566258711813454641,142584.6403892,367.6698225,18.5148181384104,943279060,g,60961.2220802,32.3282
5484,g,887351130,53.9046137,-37.3252014,1566258711813454641,143125.7893707,363.138302,18.510705262695875,887351130,g,60880.3750392,32.3389
5485,g,887306153,53.9046137,-37.3252014,1566258711813454641,142590.6415537,361.8116953,18.514772442433355,887306153,g,60880.3534292,32.3382
5486,g,183850178,53.9046137,-37.3252014,1566258711813454641,141336.2172304,373.4578445,18.524366341169838,183850178,g,59823.3260912,32.3098
5487,g,633684101,53.9046137,-37.3252014,1566258711813454641,142661.5501771,372.7118655,18.514232652987573,633684101,g,60524.3399382,32.3238
5488,g,1169956152,53.9046137,-37.3252014,1566258711813454641,142386.6036459,361.2066816,18.51632717275114,1169956152,g,61299.2035982,32.3378
5489,g,637882038,53.9046137,-37.3252014,1566258711813454641,141389.2738958,361.7035672,18.52395883958252,637882038,g,60530.3578192,32.3344
5490,g,419001120,53.9046137,-37.3252014,1566258711813454641,143232.9519117,373.9732647,18.509892643842562,419001120,g,60177.3099922,32.3186
5491,g,466202076,53.9046137,-37.3252014,1566258711813454641,141969.9908656,370.5960377,18.519508614021127,466202076,g,60260.1758192,32.3178
5492,g,480908091,53.9046137,-37.3252014,1566258711813454641,142192.8726708,361.9601054,18.51780542950293,480908091,g,60281.1615012,32.3361
5493,g,944238011,53.9046137,-37.3252014,1566258711813454641,141719.7539564,369.9155278,18.521424025822284,944238011,g,60962.2840372,32.3336
5494,g,1039925023,53.9046137,-37.3252014,1566258711813454641,142306.9297473,378.7071255,18.51693487772787,1039925023,g,61109.0318902,32.3119
5495,g,1039924081,53.9046137,-37.3252014,1566258711813454641,141942.4631,378.1759188,18.519719157034825,1039924081,g,61109.0314432,32.3099
5496,g,1225404094,53.9046137,-37.3252014,1566258711813454641,140457.5577024,360.4361611,18.53113721858319,1225404094,g,61384.1338032,32.3342
5497,g,1225403050,53.9046137,-37.3252014,1566258711813454641,141032.223443,361.2494363,18.526704117925135,1225403050,g,61384.1332852,32.335
5498,r,1131117030,53.9046137,-37.3252014,1566258711813454641,255006.2233721,540.6944534,17.88362305143294,1131117030,r,61244.3655112,32.1648
5499,r,479477163,53.9046137,-37.3252014,1566258711813454641,254054.6881585,549.7148104,17.887681966235906,479477163,r,60279.1593782,32.1766
5500,r,970016001,53.9046137,-37.3252014,1566258711813454641,255153.1980841,558.033079,17.88299745965239,970016001,r,61007.1952352,32.1492
5501,r,943364110,53.9046137,-37.3252014,1566258711813454641,254399.709675,548.7024253,17.8862084716178,943364110,r,60961.2669182,32.1649
5502,r,694268166,53.9046137,-37.3252014,1566258711813454641,254580.5942118,546.4963568,17.885436760424838,694268166,r,60605.3249832,32.1772
5503,r,922094184,53.9046137,-37.3252014,1566258711813454641,254418.4575033,532.1298971,17.886128461911902,922094184,r,60935.1944862,32.1712
5504,i,457681002,53.9046137,-37.3252014,1566258711813454641,315247.3127199,724.3940225,17.65337151704892,457681002,i,60241.2179432,31.8501
5505,i,976377131,53.9046137,-37.3252014,1566258711813454641,315382.2708687,752.4258887,17.652906810177157,976377131,i,61017.2789502,31.8482
5506,i,654425057,53.9046137,-37.3252014,1566258711813454641,315378.8545423,707.4532786,17.65291857129911,654425057,i,60549.2549382,31.8447
5507,r,923050035,53.9046137,-37.3252014,1566258711813454641,255383.541753,545.5437699,17.882017735929033,923050035,r,60936.2105122,32.1585
5508,r,922138118,53.9046137,-37.3252014,1566258711813454641,255701.6735452,533.9327049,17.880666073861935,922138118,r,60935.2152472,32.171
5509,r,753580079,53.9046137,-37.3252014,1566258711813454641,253713.4307967,539.8061527,17.889141354940318,753580079,r,60693.1161702,32.1756
5510,r,436491102,53.9046137,-37.3252014,1566258711813454641,254747.5105563,526.682503,17.884725128283666,436491102,r,60206.2621442,32.1742
5511,r,1230591188,53.9046137,-37.3252014,1566258711813454641,256647.9133737,540.1830369,17.876655655840715,1230591188,r,61392.1951642,32.1777
5512,r,414874181,53.9046137,-37.3252014,1566258711813454641,255415.0858056,524.6153511,17.881883637996314,414874181,r,60166.3389782,32.1789
5513,r,257768052,53.9046137,-37.3252014,1566258711813454641,254209.5135851,523.5564121,17.887020500896817,257768052,r,59937.1050152,32.178
5514,r,671825181,53.9046137,-37.3252014,1566258711813454641,255114.6382513,549.9637217,17.88316155310927,671825181,r,60578.3516352,32.1611
